BDAT,LACT,MILK,DIM,PCTF,PCTP
1900-01-01,1,78,35,2.9,2.6
1900-01-01,1,72,63,3.2,2.7
1900-01-01,1,84,91,3.5,2.8
1900-01-01,1,66,126,2.3,2.9
1900-01-01,1,84,154,3,3
1900-01-01,1,78,189,3,3
1900-01-01,1,78,217,2.9,2.9
1900-01-01,1,87,245,3.2,2.9
1900-01-01,1,81,280,3.2,2.9
1900-01-01,1,60,308,3,3
1900-01-01,1,72,336,3.1,3
1900-01-01,1,70,364,3.4,3
1900-01-01,1,63,399,3,3.1
1900-01-01,2,96,28,3.2,2.5
1900-01-01,2,96,56,2.6,2.6
1900-01-01,2,114,84,2.5,2.7
1900-01-01,2,125,112,3.8,2.7
1900-01-01,2,104,147,3.2,2.9
1900-01-01,2,96,175,3.5,2.8
1900-01-01,2,86,210,3.2,2.9
1900-01-01,2,78,238,2.3,3.1
1900-01-01,2,69,266,3.1,3.1
1900-01-01,2,54,301,3.1,3.3
1900-01-01,2,54,329,3.1,3.2
1900-01-01,2,36,357,3.4,3.4
1900-01-01,2,49,392,3.3,3.1
2002-04-30,1,93,24,2.9,2.7
2002-04-30,1,87,54,3.4,2.6
2002-04-30,1,121,82,2.8,2.5
2002-04-30,1,115,117,2.7,2.5
2002-04-30,1,103,145,3.2,2.5
2002-04-30,1,84,173,3.2,2.7
2002-04-30,1,115,208,2.9,2.7
2002-04-30,1,87,236,3.3,2.9
2002-04-30,1,84,264,3.2,2.8
2002-04-30,2,133,20,3.2,2.7
2002-04-30,2,127,55,4.3,2.8
2002-04-30,2,103,83,3.6,2.6
2002-04-30,2,121,118,3.4,2.6
2002-04-30,2,109,146,3.5,2.7
2002-04-30,2,121,174,3.4,2.8
2002-04-30,2,115,202,3.6,3.4
2002-04-30,2,109,237,4,3.1
2002-04-30,2,90,265,3.8,3.2
2002-04-30,3,66,2,7.1,4.4
2002-04-30,3,127,37,2.7,2.6
2002-04-30,3,127,65,2.8,2.7
2002-04-30,3,127,93,2.7,2.7
2002-04-30,3,103,128,3.3,2.9
2002-04-30,3,109,156,3.3,2.7
2002-04-30,3,136,184,5.3,2.9
2002-04-30,3,109,219,3,3.1
2002-04-30,3,115,247,5.1,3.7
2002-04-30,3,103,275,3.7,3.1
2002-04-30,3,103,310,3.4,3.2
2002-04-30,3,96,338,3.8,3.2
2002-04-30,3,75,366,3.4,3.4
2002-04-30,4,54,3,7,3.7
2002-04-30,4,109,38,4.1,2.7
2002-04-30,4,166,66,3.5,2.5
2002-04-30,4,145,94,3.8,2.7
2002-04-30,4,127,129,3.1,2.5
2002-04-30,4,115,157,2.7,2.6
2002-04-30,4,66,185,2.5,2.4
2002-04-30,4,72,220,3.5,3.2
2002-04-30,4,109,248,3.1,2.8
2002-04-30,4,103,283,4,3.1
2002-04-30,4,78,312,2.9,3.2
2002-04-30,4,78,340,3.7,3.4
2002-04-30,4,54,368,4.9,3.5
2012-03-15,1,42,4,4.3,3.8
2012-03-15,1,70,39,3,2.9
2012-03-15,1,79,67,2.9,2.8
